SecurityCode,Symbol,SecurityName,ISINNo,Sector,Industry,Exchange,Currency,GICS,Country
531768,POLYMED,POLY MEDICURE LTD.,INE205C01021,Healthcare,Healthcare,NSE,INR,35,India
507645,POLSON,POLSON LTD.,INE339F01021,Commodities,Chemicals,NSE,INR,15101010,India
540717,PQIF,Polo Queen Industrial and Fintech Ltd,INE689M01025,Services,Services,NSE,INR,20201040,India
526687,POLOHOT,POLO HOTELS LTD.,INE084C01012,Consumer Discretionary,Consumer Services,NSE,INR,252010,India
532486,POKARNA,POKARNA LTD.,INE637C01025,Consumer Discretionary,Consumer Durables,NSE,INR,2520,India
524570,PODARPIGQ,PODDAR PIGMENTS LTD.-$,INE371C01013,Commodities,Chemicals,NSE,INR,15101010,India
523628,PODDAR,Poddar Housing and Development Ltd,INE888B01018,Consumer Discretionary,Realty,NSE,INR,2550,India
539195,POEL,POCL Enterprises Ltd,INE035S01010,Commodities,Chemicals,NSE,INR,15101010,India
543709,GARGI,PNGS Gargi Fashion Jewellery Ltd,INE0NT601018,Consumer Discretionary,Consumer Durables,NSE,INR,2520,India
539150,PNCINFRA,PNC Infratech Ltd,INE195J01029,Industrials,Construction,NSE,INR,20103010,India
540173,PNBHOUSING,PNB Housing Finance Ltd,INE572E01012,Financial Services,Financial Services,NSE,INR,40201020,India
532366,PNBGILTS,PNB GILTS LTD.,INE859A01011,Financial Services,Financial Services,NSE,INR,40201020,India
534060,PMCFIN,PMC Fincorp Limited,INE793G01035,Financial Services,Financial Services,NSE,INR,40201020,India
543352,POBS,PlatinumOne Business Services Ltd,INE0DTJ01015,Services,Services,NSE,INR,20201040,India
523648,PLASTIBLEN,PLASTIBLENDS INDIA LTD.-$,INE083C01022,Commodities,Chemicals,NSE,INR,15101010,India
500333,PIXTRANS,PIX TRANSMISSIONS LTD.,INE751B01018,Industrials,Capital Goods,NSE,INR,40203030,India
513519,PITTIENG,Pitti Engineering Ltd-$,INE450D01021,Industrials,Capital Goods,NSE,INR,40203030,India
543635,PPLPHARMA,Piramal Pharma Ltd,INE0DK501011,Healthcare,Healthcare,NSE,INR,35,India
500302,PEL,PIRAMAL ENTERPRISES LTD.,INE140A01024,Financial Services,Financial Services,NSE,INR,40201020,India
507864,PIONRINV,PIONEER INVESTCORP LTD.,INE746D01014,Financial Services,Financial Services,NSE,INR,40201020,India
514300,PIONEEREMB,PIONEER EMBROIDERIES LTD.-$,INE156C01018,Consumer Discretionary,Textiles,NSE,INR,25203030,India
519439,PIONAGR,PIONEER AGRO EXTRACTS LTD.,INE062E01014,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
539883,PILANIINVS,Pilani Investment and Industries Corporation Ltd,INE417C01014,Financial Services,Financial Services,NSE,INR,40201020,India
500327,PILITA,Pil Italica Lifestyle Ltd,INE600A01035,Consumer Discretionary,Consumer Durables,NSE,INR,2520,India
500331,PIDILITIND,PIDILITE INDUSTRIES LTD.,INE318A01026,Commodities,Chemicals,NSE,INR,15101010,India
532355,PICTUREHS,PICTUREHOUSE MEDIA LTD.,INE448B01029,Consumer Discretionary,Media& Entertainment & Publication,NSE,INR,25401030,India
507498,PICCASUG,PICCADILY SUGAR & ALLIED INDUSTRIES LTD.,INE544C01023,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
530305,PICCADIL,PICCADILY AGRO INDUSTRIES LTD.,INE546C01010,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
523642,PIIND,PI Industries Ltd,INE603J01030,Commodities,Chemicals,NSE,INR,15101010,India
524808,PHYTO,PHYTO CHEM (INDIA) LTD.,INE037C01010,Commodities,Chemicals,NSE,INR,15101010,India
526588,PHOTOQUP,PHOTOQUIP INDIA LTD.,INE813B01016,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
509084,PHOTON,PHOTON CAPITAL ADVISORS LTD.,INE107J01016,Services,Services,NSE,INR,20201040,India
537839,PHOENIXTN,Phoenix Township Ltd,INE977M01024,Consumer Discretionary,Consumer Services,NSE,INR,252010,India
526481,PHOENXINTL,PHOENIX INTERNATIONAL LTD.,INE245B01011,Services,Services,NSE,INR,20201040,India
523620,PHRMASI,PHAARMASIA LTD.,INE486I01016,Healthcare,Healthcare,NSE,INR,35,India
512026,PHTRADING,PH TRADING LTD.,INE603D01017,Services,Services,NSE,INR,20201040,India
533581,PGEL,PG ELECTROPLAST LTD.,INE457L01011,Consumer Discretionary,Consumer Durables,NSE,INR,2520,India
500680,PFIZER,PFIZER LTD.,INE182A01018,Healthcare,Healthcare,NSE,INR,35,India
532522,PETRONET,PETRONET LNG LTD.,INE347G01014,Energy,Oil& Gas & Consumable Fuels,NSE,INR,10101020,India
524046,PETPLST,PET PLASTICS LTD.,INE704F01018,Industrials,Capital Goods,NSE,INR,40203030,India
517172,PERVASIVE,Pervasive Commodities Ltd,INE443P01020,Services,Services,NSE,INR,20201040,India
533179,PERSISTENT,PERSISTENT SYSTEMS LTD.,INE262H01013,Information Technology,Information Technology,NSE,INR,45,India
504132,PERMAGN,PERMANENT MAGNETS LTD.-$,INE418E01018,Industrials,Capital Goods,NSE,INR,40203030,India
526435,PERFEPA,PERFECTPAC LTD.,INE759I01024,Commodities,Forest Materials,NSE,INR,151050,India
521062,OCTAVE,Perfect-Octave Media Projects Ltd,INE814L01013,Consumer Discretionary,Media& Entertainment & Publication,NSE,INR,25401030,India
501144,PEOPLIN,PEOPLES INVESTMENTS LTD.,INE644U01015,Services,Services,NSE,INR,20201040,India
524210,PNTKYOR,PENTOKEY ORGANY (INDIA) LTD.,INE702E01015,Commodities,Chemicals,NSE,INR,15101010,India
513228,PENIND,PENNAR INDUSTRIES LTD.-$,INE932A01024,Industrials,Capital Goods,NSE,INR,40203030,India
503031,PENINLAND,PENINSULA LAND LTD.,INE138A01028,Consumer Discretionary,Realty,NSE,INR,2550,India
531352,PEETISEC,PEETI SECURITIES LTD.,INE328D01011,Consumer Discretionary,Textiles,NSE,INR,25203030,India
524136,PCCOSMA,PEE CEE COSMA SOPE LTD.,INE417E01010,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
539273,PECOS,Pecos Hotels and Pubs Ltd,INE484S01010,Consumer Discretionary,Consumer Services,NSE,INR,252010,India
523260,PEARLPOLY,PEARL POLYMERS LTD.,INE844A01013,Consumer Discretionary,Consumer Durables,NSE,INR,2520,India
543540,PGCRL,Pearl Green Clubs and Resorts Ltd,INE0GTX01019,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
532808,PGIL,Pearl Global Industries Limited,INE940H01014,Consumer Discretionary,Textiles,NSE,INR,25203030,India
538730,PDSL,PDS Ltd,INE111Q01021,Consumer Discretionary,Textiles,NSE,INR,25203030,India
517119,PCS,PCS TECHNOLOGY LTD.,INE834B01012,Information Technology,Information Technology,NSE,INR,45,India
506590,PCBL,PCBL Ltd,INE602A01031,Commodities,Chemicals,NSE,INR,15101010,India
534809,PCJEWELLER,PC JEWELLER LTD.,INE785M01013,Consumer Discretionary,Consumer Durables,NSE,INR,2520,India
532676,PBAINFRA,PBA INFRASTRUCTURE LTD.,INE160H01019,Industrials,Construction,NSE,INR,20103010,India
543390,POLICYBZR,PB Fintech Ltd,INE417T01026,Financial Services,Financial Services,NSE,INR,40201020,India
532742,PAUSHAKLTD,PAUSHAK LTD.,INE111F01016,Commodities,Chemicals,NSE,INR,15101010,India
539113,PML,Paul Merchants Ltd,INE291E01019,Financial Services,Financial Services,NSE,INR,40201020,India
514326,PATSPINLTD,PATSPIN INDIA LTD.,INE790C01014,Consumer Discretionary,Textiles,NSE,INR,25203030,India
543798,PATRON,Patron Exim Ltd,INE0NPA01011,Commodities,Chemicals,NSE,INR,15101010,India
524031,PATIDAR,Patidar Buildcon Limited,INE637N01014,Consumer Discretionary,Realty,NSE,INR,2550,India
517417,PATELSAI,PATELS AIRTEMP (INDIA) LTD.,INE082C01024,Industrials,Capital Goods,NSE,INR,40203030,India
526381,PATINTLOG,PATEL INTEGRATED LOGISTICS LTD.-$,INE529D01014,Services,Services,NSE,INR,20201040,India
531120,PATELENG,PATEL ENGINEERING LTD.-$,INE244B01030,Industrials,Construction,NSE,INR,20103010,India
539401,PJL,Patdiam Jewellery Ltd,INE473T01011,Consumer Discretionary,Consumer Durables,NSE,INR,2520,India
500368,PATANJALI,Patanjali Foods Ltd,INE619A01035,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
503092,PASUSPG,PASUPATI SPG.& WVG.MILLS LTD.,INE909B01020,Consumer Discretionary,Textiles,NSE,INR,25203030,India
500456,PASUPTAC,PASUPATI ACRYLON LTD.,INE818B01023,Commodities,Chemicals,NSE,INR,15101010,India
521080,PASARI,PASARI SPINNING MILLS LTD.,INE604F01010,Consumer Discretionary,Textiles,NSE,INR,25203030,India
541347,PARVATI,Parvati Sweetners and Power Ltd,INE295Z01015,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
526349,PARTIND,Parth Industries Limited,INE218T01010,Consumer Discretionary,Automobile and Auto Components,NSE,INR,25102010,India
532780,PARSVNATH,PARSVNATH DEVELOPERS LTD.,INE561H01026,Consumer Discretionary,Realty,NSE,INR,2550,India
511176,PARSHWANA,PARSHWANATH CORPORATION LTD.,INE635I01018,Consumer Discretionary,Realty,NSE,INR,2550,India
542694,PARSHVA,Parshva Enterprises Ltd,INE05MV01019,Services,Services,NSE,INR,20201040,India
506128,PARNAXLAB,PARNAX LAB LTD.,INE383L01019,Healthcare,Healthcare,NSE,INR,35,India
540467,PARMSILK,Parmeshwari Silk Mills Ltd,INE808R01012,Consumer Discretionary,Consumer Durables,NSE,INR,2520,India
540359,PARMAX,Parmax Pharma Ltd,INE240T01014,Healthcare,Healthcare,NSE,INR,35,India
532911,PARLEIND,Parle Industries Ltd,INE272G01014,Services,Services,NSE,INR,20201040,India
524628,PARKERAC,PARKER AGROCHEM EXPORTS LTD.-$,INE750B01010,Services,Services,NSE,INR,20201040,India
521246,PARASPETRO,PARAS PETROFILS LTD.,INE162C01024,Consumer Discretionary,Textiles,NSE,INR,25203030,India
543367,PARAS,Paras Defence and Space Technologies Ltd,INE045601015,Industrials,Capital Goods,NSE,INR,40203030,India
507970,PARMCOS-B,PARAMOUNT COSMETICS (INDIA) LTD.,INE143I01013,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
530555,PARACABLES,PARAMOUNT COMMUNICATIONS LTD.-$,INE074B01023,Industrials,Capital Goods,NSE,INR,40203030,India
531255,PARAGONF,PARAGON FINANCE LTD.,INE015E01012,Financial Services,Financial Services,NSE,INR,40201020,India
539889,PARAGMILK,Parag Milk Foods Ltd,INE883N01014,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
543530,PARADEEP,Paradeep Phosphates Ltd,INE088F01024,Commodities,Chemicals,NSE,INR,15101010,India
530291,PAOS,Paos Industries Ltd,INE791C01012,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
539143,PANTH,Panth Infinity Ltd,INE945O01019,Diversified,Diversified,NSE,INR,40203030,India
539469,PANORAMA,Panorama Studios International Ltd,INE258R01010,Consumer Discretionary,Media& Entertainment & Publication,NSE,INR,25401030,India
531280,PANKAJPO,PANKAJ POLYMERS LTD.,INE698B01011,Industrials,Capital Goods,NSE,INR,40203030,India
506122,PANKAJPIYUS,Pankaj Piyush Trade & Investment Ltd,INE820M01018,Consumer Discretionary,Automobile and Auto Components,NSE,INR,25102010,India
526345,PANJON,PANJON LTD.,INE744D01019,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
531726,PANCHSHEEL,PANCHSHEEL ORGANICS LTD.,INE316G01019,Healthcare,Healthcare,NSE,INR,35,India
513511,PANCHMAHQ,PANCHMAHAL STEEL LTD.,INE798F01010,Industrials,Capital Goods,NSE,INR,40203030,India
504093,PANAENERG,PANASONIC ENERGY INDIA COMPANY LTD.-$,INE795A01017,Fast Moving Consumer Goods,Fast Moving Consumer Goods,NSE,INR,25201010,India
508941,PANCARBON,PANASONIC CARBON INDIA CO.LTD.-$,INE013E01017,Industrials,Capital Goods,NSE,INR,40203030,India
